hashval,pangenome_classification
96834755571756,1
119187685848053,1
129679169912030,1
216546604435662,1
272118268779895,1
315381389159431,1
321925201435491,1
338143729868100,1
342493486689340,1
360915493686890,1
370126667626396,1
437520512546007,1
444835280580876,1
452231399886127,1
611050086480193,1
638021876320707,1
662470313132871,1
726048770713207,1
745863317244966,1
784137889621121,1
798990974129686,1
810794393827312,1
814548164469443,1
876704299439890,1
953984177593858,1
991703386002665,1
1066997642450620,1
1248152603692744,1
1314539570385988,1
1358196480779762,1
1519125726199699,1
1531874330440095,1
1542483639585087,1
1581425992940121,1
1624094810531424,1
1633240703320749,1
1672362349661536,1
1691719893710743,1
1703474047362195,1
1720785881122830,1
1756660675711444,1
1811174751551669,1
1840542533815916,1
1851693593099932,1
1865122461851348,1
1891913957012630,1
1929786604666465,1
1930307696746918,1
1951079272785157,1
2009408764683192,1
2087350555290991,1
2120773379334905,1
2126880695135484,1
2246688590914055,1
2263711537879025,1
2279003643637028,1
2286860546399485,1
2294515902608546,1
2331961954072345,1
2367075397119110,1
2379002935701519,1
2379471560430695,1
2403464987951802,1
2472481563480667,1
2503901756985551,1
2505107793838441,1
2528940285632445,1
2555411524999336,1
2558101347447627,1
2639337132401070,1
2686564118215875,1
2687652452156466,1
2721582251204669,1
2747638299071577,1
2790997282463251,1
2792553121303499,1
2797458787635774,1
2882455891829868,1
2901593514286219,1
2925338475010000,1
2925940263036308,1
2926012744292265,1
3037034698714596,1
3056847819028496,1
3090338781188294,1
3112075811906193,1
3137087148733718,1
3142498947751700,1
3153305985090114,1
3159327036869872,1
3160540794904320,1
3170536861702709,1
3213199800456074,1
3239153544247860,1
3268855233776139,1
3332615627238411,1
3364292007913105,1
3389847117596472,1
3390913702362217,1
3415720506515779,1
3495044855023792,1
3517105230007327,1
3518162400851165,1
3529801374756390,1
3574861008526968,1
3619885410156964,1
3631320174804522,1
3646277017016950,1
3651649585540109,1
3722954625901589,1
3743636769135953,1
3766630063171104,1
3805468699321355,1
3825795375967949,1
3825931828805450,1
3834942813432058,1
3842631196655164,1
3860429943930230,1
3906045364560705,1
3951890571378927,1
3962297294281312,1
3979276270589039,1
4021311579566825,1
4088155749853250,1
4108073143285883,1
4123512592361762,1
4135785106025055,1
4169080561905498,1
4194462872587312,1
4196358321416712,1
4202740255983793,1
4222884084178927,1
4239923588610924,1
4303779293089039,1
4443715123805549,1
4464582356148528,1
4584987965996770,1
4632710697099200,1
4681055144887362,1
4703241699566064,1
4761440762836957,1
4767892317297203,1
4812931926927174,1
4842287481759402,1
4844800422232516,1
4864021414456942,1
4957077957147304,1
